Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Commercial Positions-Long (All),Commercial Positions-Short (All),Total Reportable Positions-Long (All),Total Reportable Positions-Short (All),Open Interest (All),Change in Open Interest (All),Traders Total (All)
COTTON NO. 2 - ICE FUTURES U.S.,2026-09-15,  151446,   34673,  136577,  262263,,  371726,  380206,    -199,
COTTON NO. 2 - ICE FUTURES U.S.,2026-09-08,  158085,   35334,  129508,  262762,,  372055,  380405,   -3325,
COTTON NO. 2 - ICE FUTURES U.S.,2026-09-01,  167742,   37021,  127081,  268981,,  374849,  383730,    8871,
COTTON NO. 2 - ICE FUTURES U.S.,2026-08-25,  159332,   36429,  127389,  260837,,  366441,  374859,   12988,
COTTON NO. 2 - ICE FUTURES U.S.,2026-08-18,  149398,   41750,  127884,  247085,,  354053,  361871,   12501,
COTTON NO. 2 - ICE FUTURES U.S.,2026-08-11,  143727,   40472,  123648,  237174,,  341987,  349370,   17870,
COTTON NO. 2 - ICE FUTURES U.S.,2026-08-04,  134415,   38039,  118292,  223418,,  323960,  331500,    7723,
COTTON NO. 2 - ICE FUTURES U.S.,2026-07-28,  133040,   39509,  116740,  217107,,  315442,  323777,    5952,
COTTON NO. 2 - ICE FUTURES U.S.,2026-07-21,  135353,   40241,  113037,  215715,,  309958,  317825,   -4482,
COTTON NO. 2 - ICE FUTURES U.S.,2026-07-14,  134337,   38890,  113271,  218549,,  314282,  322307,    4255,
COTTON NO. 2 - ICE FUTURES U.S.,2026-07-07,  137454,   49026,  111052,  206591,,  309700,  318052,   12344,
COTTON NO. 2 - ICE FUTURES U.S.,2026-06-30,  131869,   54021,  109369,  192891,,  297346,  305708,    3005,
COTTON NO. 2 - ICE FUTURES U.S.,2026-06-23,  130087,   46529,  104997,  195451,,  293776,  302703,   -3939,
COTTON NO. 2 - ICE FUTURES U.S.,2026-06-16,  129248,   50571,  110591,  195070,,  297587,  306642,  -18337,
COTTON NO. 2 - ICE FUTURES U.S.,2026-06-09,  126353,   50396,  121661,  203578,,  315429,  324979,  -20839,
COTTON NO. 2 - ICE FUTURES U.S.,2026-06-02,  135383,   50177,  124567,  217988,,  335152,  345818,   14661,
COTTON NO. 2 - ICE FUTURES U.S.,2026-05-26,  135684,   48010,  114884,  211635,,  321795,  331157,    1859,
COTTON NO. 2 - ICE FUTURES U.S.,2026-05-19,  137278,   44808,  110947,  214492,,  321047,  329298,   -5920,
COTTON NO. 2 - ICE FUTURES U.S.,2026-05-12,  147784,   45395,  103453,  220612,,  326216,  335218,    2595,
COTTON NO. 2 - ICE FUTURES U.S.,2026-05-05,  144088,   43406,  100805,  215736,,  324189,  332623,    8787,
COTTON NO. 2 - ICE FUTURES U.S.,2026-04-28,  132561,   51620,  105182,  198186,,  314761,  323836,   -5938,
COTTON NO. 2 - ICE FUTURES U.S.,2026-04-21,  136259,   53692,  108509,  203652,,  321466,  329774,    1331,
COTTON NO. 2 - ICE FUTURES U.S.,2026-04-14,  127016,   57266,  113343,  195037,,  319433,  328443,  -17678,
COTTON NO. 2 - ICE FUTURES U.S.,2026-04-07,  131279,   69922,  124058,  193901,,  334962,  346121,   -1574,
COTTON NO. 2 - ICE FUTURES U.S.,2026-03-31,  129730,   81343,  126818,  184766,,  337632,  347695,   19736,
COTTON NO. 2 - ICE FUTURES U.S.,2026-03-24,  120118,   97851,  126034,  155008,,  316305,  327959,  -13367,
COTTON NO. 2 - ICE FUTURES U.S.,2026-03-17,  128445,  112220,  131594,  155316,,  330342,  341326,   11434,
COTTON NO. 2 - ICE FUTURES U.S.,2026-03-10,  115992,  137023,  137358,  119008,,  316918,  329892,    1501,
COTTON NO. 2 - ICE FUTURES U.S.,2026-03-03,  112260,  140357,  138605,  114082,,  316639,  328391,    7568,
COTTON NO. 2 - ICE FUTURES U.S.,2026-02-24,  103424,  132394,  136769,  111442,,  308686,  320823,  -17812,
COTTON NO. 2 - ICE FUTURES U.S.,2026-02-17,   99583,  155316,  156452,  102063,,  324349,  338635,  -21943,
COTTON NO. 2 - ICE FUTURES U.S.,2026-02-10,   99841,  151167,  168492,  118425,,  345715,  360578,  -19447,
COTTON NO. 2 - ICE FUTURES U.S.,2026-02-03,  101788,  144532,  186654,  144256,,  365989,  380025,   17396,
COTTON NO. 2 - ICE FUTURES U.S.,2026-01-27,   96472,  135439,  177241,  138593,,  348870,  362629,   23776,
COTTON NO. 2 - ICE FUTURES U.S.,2026-01-20,   92421,  118245,  158038,  134623,,  326375,  338853,   11060,
COTTON NO. 2 - ICE FUTURES U.S.,2026-01-13,   88834,  116265,  149665,  125349,,  315727,  327793,   16146,
COTTON NO. 2 - ICE FUTURES U.S.,2026-01-06,   81409,  110329,  139812,  114953,,  300170,  311647,   10685,
