Country,Market_Year,Unit,Beginning Stocks,Production,Imports,Total Supply,Exports,Domestic Use,Ending Stocks,Stocks_to_Use_Pct
World,1960,1000 480-lb bales,19561.0,45066.0,17314.0,81941.0,17137.0,46224.0,18875.0,40.83
World,1961,1000 480-lb bales,18875.0,44566.0,15986.0,79427.0,15635.0,44804.0,19181.0,42.81
World,1962,1000 480-lb bales,19181.0,46989.0,16472.0,82642.0,15928.0,43990.0,23033.0,52.36
World,1963,1000 480-lb bales,23033.0,50815.0,17790.0,91638.0,17988.0,47786.0,26048.0,54.51
World,1964,1000 480-lb bales,26048.0,53747.0,17370.0,97165.0,16938.0,51225.0,29001.0,56.61
World,1965,1000 480-lb bales,29001.0,56936.0,17133.0,103070.0,16966.0,53827.0,32550.0,60.47
World,1966,1000 480-lb bales,32550.0,52262.0,18009.0,102821.0,18307.0,56043.0,28454.0,50.77
World,1967,1000 480-lb bales,28456.0,51560.0,17368.0,97384.0,17620.0,56192.0,23581.0,41.97
World,1968,1000 480-lb bales,23581.0,56894.0,16935.0,97410.0,17030.0,56368.0,23976.0,42.53
World,1969,1000 480-lb bales,23976.0,54326.0,17698.0,96000.0,17735.0,55970.0,22390.0,40.0
World,1970,1000 480-lb bales,22390.0,55572.0,24612.0,102574.0,23582.0,57133.0,21845.0,38.24
World,1971,1000 480-lb bales,21845.0,59152.0,24669.0,105666.0,24835.0,58381.0,22449.0,38.45
World,1972,1000 480-lb bales,22449.0,61867.0,27377.0,111693.0,27816.0,59499.0,24487.0,41.16
World,1973,1000 480-lb bales,24487.0,62478.0,26744.0,113709.0,26220.0,60268.0,27158.0,45.06
World,1974,1000 480-lb bales,27158.0,63817.0,23824.0,114799.0,24295.0,57041.0,33352.0,58.47
World,1975,1000 480-lb bales,33352.0,53975.0,26286.0,113613.0,25967.0,61600.0,25901.0,42.05
World,1976,1000 480-lb bales,25901.0,56527.0,24931.0,107359.0,24603.0,60238.0,22380.0,37.15
World,1977,1000 480-lb bales,22380.0,63908.0,27120.0,113408.0,26441.0,61022.0,25637.0,42.01
World,1978,1000 480-lb bales,25637.0,59496.0,27129.0,112262.0,27253.0,63229.0,21856.0,34.57
World,1979,1000 480-lb bales,21856.0,65446.0,30506.0,117808.0,30662.0,65904.0,21232.0,32.22
World,1980,1000 480-lb bales,21232.0,63377.0,27253.0,111862.0,26265.0,65021.0,20609.0,31.7
World,1981,1000 480-lb bales,20609.0,68839.0,25698.0,115146.0,25764.0,63309.0,25834.0,40.81
World,1982,1000 480-lb bales,25834.0,66332.0,26071.0,118237.0,25515.0,66966.0,25454.0,38.01
World,1983,1000 480-lb bales,25454.0,66277.0,27059.0,118790.0,25333.0,68680.0,24281.0,35.35
World,1984,1000 480-lb bales,24281.0,88706.0,27629.0,140616.0,27200.0,70816.0,42126.0,59.49
World,1985,1000 480-lb bales,42126.0,80141.0,28981.0,151248.0,28078.0,75330.0,47588.0,63.17
World,1986,1000 480-lb bales,47588.0,70363.0,33093.0,151044.0,33350.0,82095.0,35420.0,43.15
World,1987,1000 480-lb bales,35420.0,81446.0,30529.0,147395.0,30103.0,84146.0,32612.0,38.76
World,1988,1000 480-lb bales,32612.0,84222.0,33582.0,150416.0,33481.0,85238.0,31055.0,36.43
World,1989,1000 480-lb bales,31055.0,79721.0,32703.0,143479.0,31357.0,86905.0,24983.0,28.75
World,1990,1000 480-lb bales,24983.0,87211.0,30578.0,142772.0,29560.0,85559.0,27483.0,32.12
World,1991,1000 480-lb bales,27483.0,95304.0,29024.0,151811.0,28204.0,86188.0,37051.0,42.99
World,1992,1000 480-lb bales,37051.0,82306.0,27067.0,146424.0,25435.0,86323.0,34603.0,40.09
World,1993,1000 480-lb bales,34603.0,77550.0,27917.0,140070.0,26620.0,85435.0,27872.0,32.62
World,1994,1000 480-lb bales,27872.0,85934.0,30340.0,144146.0,28018.0,84462.0,31996.0,37.88
World,1995,1000 480-lb bales,31996.0,93656.0,26994.0,152646.0,27296.0,85853.0,40041.0,46.64
World,1996,1000 480-lb bales,40041.0,89814.0,28564.0,158419.0,26602.0,87851.0,44501.0,50.66
World,1997,1000 480-lb bales,44501.0,92074.0,25909.0,162484.0,26777.0,87070.0,49143.0,56.44
World,1998,1000 480-lb bales,49143.0,85820.0,24460.0,159423.0,23507.0,84358.0,52572.0,62.32
World,1999,1000 480-lb bales,52572.0,87743.0,27968.0,168283.0,27126.0,90534.0,51100.0,56.44
World,2000,1000 480-lb bales,51100.0,88449.0,26182.0,165731.0,26156.0,91713.0,49111.0,53.55
World,2001,1000 480-lb bales,49111.0,99275.0,29266.0,177652.0,29081.0,94269.0,54933.0,58.27
World,2002,1000 480-lb bales,54933.0,90630.0,30151.0,175714.0,30400.0,98293.0,47675.0,48.5
World,2003,1000 480-lb bales,47675.0,94388.0,34119.0,176182.0,33072.0,98034.0,45835.0,46.75
World,2004,1000 480-lb bales,45835.0,121521.0,33939.0,201295.0,34949.0,109007.0,58434.0,53.61
World,2005,1000 480-lb bales,58434.0,117388.0,44649.0,220471.0,44922.0,116448.0,60767.0,52.18
World,2006,1000 480-lb bales,60767.0,120400.0,38285.0,219452.0,37416.0,123925.0,59699.0,48.17
World,2007,1000 480-lb bales,59699.0,119665.0,39451.0,218815.0,38868.0,123890.0,58049.0,46.86
World,2008,1000 480-lb bales,58049.0,109865.0,30534.0,198448.0,30207.0,110628.0,59002.0,53.33
World,2009,1000 480-lb bales,59002.0,103171.0,36931.0,199104.0,35805.0,119584.0,43695.0,36.54
World,2010,1000 480-lb bales,43695.0,113632.0,36449.0,193776.0,34936.0,115552.0,43206.0,37.39
World,2011,1000 480-lb bales,43206.0,127634.0,45432.0,216272.0,46005.0,103914.0,66680.0,64.17
World,2012,1000 480-lb bales,66680.0,126301.0,47479.0,240460.0,46372.0,107745.0,86820.0,80.58
World,2013,1000 480-lb bales,86820.0,118608.0,41436.0,246864.0,41290.0,109240.0,96372.0,88.22
World,2014,1000 480-lb bales,96372.0,120031.0,36528.0,252931.0,36264.0,112825.0,103634.0,91.85
World,2015,1000 480-lb bales,103634.0,97008.0,35626.0,236268.0,34904.0,113522.0,87753.0,77.3
World,2016,1000 480-lb bales,87753.0,105100.0,37760.0,230613.0,38083.0,116532.0,76062.0,65.27
World,2017,1000 480-lb bales,76062.0,121598.0,41336.0,238996.0,41562.0,122932.0,74697.0,60.76
World,2018,1000 480-lb bales,74697.0,113732.0,42374.0,230803.0,41336.0,118905.0,70692.0,59.45
World,2019,1000 480-lb bales,70692.0,118206.0,40725.0,229623.0,40810.0,105198.0,83669.0,79.53
World,2020,1000 480-lb bales,83669.0,113261.0,48578.0,245508.0,48463.0,124468.0,72717.0,58.42
World,2021,1000 480-lb bales,72717.0,114284.0,42917.0,229918.0,42666.0,115708.0,71140.0,61.48
World,2022,1000 480-lb bales,71140.0,115923.0,37738.0,224801.0,36554.0,112725.0,75787.0,67.23
World,2023,1000 480-lb bales,75787.0,112403.0,44045.0,232235.0,44045.0,114856.0,73541.0,64.03
World,2024,1000 480-lb bales,73541.0,119534.0,43028.0,236103.0,42396.0,119103.0,74831.0,62.83
World,2025,1000 480-lb bales,74831.0,121945.0,45046.0,241822.0,45583.0,121127.0,75305.0,62.17
World,2026,1000 480-lb bales,75305.0,117315.0,44236.0,236856.0,44224.0,122919.0,69857.0,56.83
