Market_Year,World_ExChina_Stocks_kBales,World_ExChina_DomUse_kBales,Stocks_to_Use_Pct_ExChina
1960,18375.0,40324.0,45.57
1961,18881.0,40704.0,46.39
1962,22533.0,40390.0,55.79
1963,25148.0,41886.0,60.04
1964,27701.0,43325.0,63.94
1965,30850.0,44127.0,69.91
1966,26354.0,45243.0,58.25
1967,21281.0,45292.0,46.99
1968,21576.0,45468.0,47.45
1969,20090.0,46020.0,43.65
1970,19145.0,46633.0,41.05
1971,20249.0,47581.0,42.56
1972,22287.0,48599.0,45.86
1973,22158.0,49668.0,44.61
1974,27952.0,45641.0,61.24
1975,20451.0,50100.0,40.82
1976,18580.0,48638.0,38.2
1977,23137.0,48822.0,47.39
1978,20396.0,50129.0,40.69
1979,19684.0,51804.0,38.0
1980,18217.0,49921.0,36.49
1981,23843.0,47109.0,50.61
1982,22553.0,50366.0,44.78
1983,16476.0,52380.0,31.45
1984,23280.0,54016.0,43.1
1985,30540.0,57330.0,53.27
1986,24725.0,62595.0,39.5
1987,25153.0,63646.0,39.52
1988,25184.0,64738.0,38.9
1989,21004.0,66605.0,31.54
1990,21527.0,65559.0,32.84
1991,24817.0,65338.0,37.98
1992,24011.0,64423.0,37.27
1993,21321.0,64135.0,33.24
1994,21218.0,64462.0,32.92
1995,23300.0,66453.0,35.06
1996,24304.0,67901.0,35.79
1997,24596.0,67920.0,36.21
1998,25644.0,65658.0,39.06
1999,28722.0,69234.0,41.49
2000,29370.0,68213.0,43.06
2001,36085.0,68019.0,53.05
2002,30201.0,68393.0,44.16
2003,26852.0,66034.0,40.66
2004,40046.0,70507.0,56.8
2005,38231.0,71448.0,53.51
2006,39163.0,73925.0,52.98
2007,37545.0,72890.0,51.51
2008,37636.0,66628.0,56.49
2009,29449.0,69584.0,42.32
2010,32603.0,69552.0,46.88
2011,35599.0,65914.0,54.01
2012,36459.0,71745.0,50.82
2013,33665.0,74740.0,45.04
2014,37214.0,78325.0,47.51
2015,31655.0,77522.0,40.83
2016,31935.0,78032.0,40.93
2017,38998.0,81932.0,47.6
2018,37428.0,79805.0,46.9
2019,50525.0,71198.0,70.96
2020,38887.0,83068.0,46.81
2021,36973.0,82308.0,44.92
2022,42432.0,75025.0,56.56
2023,36828.0,75956.0,48.49
2024,39994.0,80103.0,49.93
2025,39063.0,79527.0,49.12
2026,35190.0,80919.0,43.49
