Year,Month,Cotlook_A_Index_USD_per_kg
1960,1,0.6486
1960,2,0.6453
1960,3,0.6464
1960,4,0.6435
1960,5,0.6468
1960,6,0.6559
1960,7,0.6572
1960,8,0.6534
1960,9,0.6618
1960,10,0.6656
1960,11,0.6651
1960,12,0.6649
1961,1,0.6636
1961,2,0.6784
1961,3,0.6748
1961,4,0.6726
1961,5,0.6781
1961,6,0.6764
1961,7,0.6757
1961,8,0.6717
1961,9,0.6737
1961,10,0.6764
1961,11,0.6643
1961,12,0.6605
1962,1,0.6598
1962,2,0.6631
1962,3,0.6634
1962,4,0.6598
1962,5,0.6598
1962,6,0.6572
1962,7,0.649
1962,8,0.6387
1962,9,0.627
1962,10,0.6266
1962,11,0.6345
1962,12,0.653
1963,1,0.6581
1963,2,0.6546
1963,3,0.6495
1963,4,0.6422
1963,5,0.6391
1963,6,0.6389
1963,7,0.6385
1963,8,0.6433
1963,9,0.6499
1963,10,0.6453
1963,11,0.6435
1963,12,0.6442
1964,1,0.6559
1964,2,0.6556
1964,3,0.6548
1964,4,0.6521
1964,5,0.6559
1964,6,0.6594
1964,7,0.6488
1964,8,0.6437
1964,9,0.6482
1964,10,0.646
1964,11,0.6413
1964,12,0.6426
1965,1,0.6424
1965,2,0.6737
1965,3,0.6464
1965,4,0.6493
1965,5,0.6504
1965,6,0.629
1965,7,0.6349
1965,8,0.6312
1965,9,0.631
1965,10,0.6245
1965,11,0.6228
1965,12,0.6195
1966,1,0.6195
1966,2,0.6195
1966,3,0.639
1966,4,0.6184
1966,5,0.6228
1966,6,0.6182
1966,7,0.6151
1966,8,0.6195
1966,9,0.6072
1966,10,0.6316
1966,11,0.6314
1966,12,0.6314
1967,1,0.6449
1967,2,0.6596
1967,3,0.6636
1967,4,0.6614
1967,5,0.6614
1967,6,0.6667
1967,7,0.668
1967,8,0.6775
1967,9,0.6909
1967,10,0.7024
1967,11,0.7055
1967,12,0.7165
1968,1,0.7165
1968,2,0.7128
1968,3,0.7099
1968,4,0.711
1968,5,0.7097
1968,6,0.7
1968,7,0.6918
1968,8,0.6837
1968,9,0.6634
1968,10,0.6563
1968,11,0.6345
1968,12,0.6246
1969,1,0.625
1969,2,0.6283
1969,3,0.6283
1969,4,0.6272
1969,5,0.6327
1969,6,0.6248
1969,7,0.6138
1969,8,0.5999
1969,9,0.6131
1969,10,0.6272
1969,11,0.6477
1969,12,0.6559
1970,1,0.6448
1970,2,0.6516
1970,3,0.657
1970,4,0.6618
1970,5,0.6645
1970,6,0.666
1970,7,0.6721
1970,8,0.6826
1970,9,0.6918
1970,10,0.6977
1970,11,0.709
1970,12,0.7165
1971,1,0.7275
1971,2,0.7403
1971,3,0.7275
1971,4,0.7255
1971,5,0.7535
1971,6,0.7923
1971,7,0.7965
1971,8,0.8289
1971,9,0.8267
1971,10,0.8185
1971,11,0.8157
1971,12,0.8455
1972,1,0.8884
1972,2,0.8964
1972,3,0.8707
1972,4,0.8651
1972,5,0.8598
1972,6,0.8313
1972,7,0.7815
1972,8,0.7415
1972,9,0.733
1972,10,0.7799
1972,11,0.8143
1972,12,0.862
1973,1,0.8858
1973,2,0.9068
1973,3,0.958
1973,4,1.0307
1973,5,1.1498
1973,6,1.2237
1973,7,1.455
1973,8,1.672
1973,9,1.9112
1973,10,1.9252
1973,11,1.7528
1973,12,1.8159
1974,1,1.9887
1974,2,1.8437
1974,3,1.6949
1974,4,1.6094
1974,5,1.4682
1974,6,1.3973
1974,7,1.3228
1974,8,1.3349
1974,9,1.3173
1974,10,1.2621
1974,11,1.1743
1974,12,1.0913
1975,1,1.0538
1975,2,1.0582
1975,3,1.0899
1975,4,1.1616
1975,5,1.2225
1975,6,1.2319
1975,7,1.2544
1975,8,1.3131
1975,9,1.327
1975,10,1.3162
1975,11,1.2998
1975,12,1.3461
1976,1,1.4744
1976,2,1.517
1976,3,1.5432
1976,4,1.5565
1976,5,1.6138
1976,6,1.8012
1976,7,2.0018
1976,8,1.9158
1976,9,1.8761
1976,10,1.9202
1976,11,1.907
1976,12,1.8431
1977,1,1.7514
1977,2,1.8629
1977,3,1.9169
1977,4,1.8905
1977,5,1.7802
1977,6,1.605
1977,7,1.5721
1977,8,1.506
1977,9,1.4286
1977,10,1.3944
1977,11,1.4138
1977,12,1.4207
1978,1,1.4606
1978,2,1.5335
1978,3,1.584
1978,4,1.5957
1978,5,1.6301
1978,6,1.6006
1978,7,1.5461
1978,8,1.5895
1978,9,1.6259
1978,10,1.67
1978,11,1.7317
1978,12,1.7123
1979,1,1.6755
1979,2,1.6737
1979,3,1.6868
1979,4,1.6424
1979,5,1.6799
1979,6,1.6976
1979,7,1.7031
1979,8,1.7119
1979,9,1.7183
1979,10,1.715
1979,11,1.765
1979,12,1.819
1980,1,1.9296
1980,2,2.0988
1980,3,2.0331
1980,4,2.0016
1980,5,1.958
1980,6,1.8909
1980,7,1.9821
1980,8,2.1219
1980,9,2.1999
1980,10,2.1702
1980,11,2.1561
1980,12,2.1999
1981,1,2.178
1981,2,2.1246
1981,3,2.0384
1981,4,1.9767
1981,5,1.9482
1981,6,1.9276
1981,7,1.888
1981,8,1.772
1981,9,1.6976
1981,10,1.6689
1981,11,1.648
1981,12,1.5847
1982,1,1.5454
1982,2,1.5421
1982,3,1.5529
1982,4,1.5767
1982,5,1.6887
1982,6,1.6675
1982,7,1.73
1982,8,1.6568
1982,9,1.6039
1982,10,1.5479
1982,11,1.5198
1982,12,1.5355
1983,1,1.5846
1983,2,1.6387
1983,3,1.7392
1983,4,1.7687
1983,5,1.807
1983,6,1.8982
1983,7,1.9497
1983,8,2.0018
1983,9,1.9809
1983,10,1.9428
1983,11,1.965
1983,12,1.9701
1984,1,1.9308
1984,2,1.9277
1984,3,1.9495
1984,4,1.9619
1984,5,1.972
1984,6,1.8455
1984,7,1.7414
1984,8,1.6649
1984,9,1.6129
1984,10,1.6233
1984,11,1.6014
1984,12,1.5869
1985,1,1.5679
1985,2,1.5141
1985,3,1.482
1985,4,1.4581
1985,5,1.4345
1985,6,1.3856
1985,7,1.3445
1985,8,1.256
1985,9,1.1778
1985,10,1.0767
1985,11,1.0585
1985,12,1.0637
1986,1,1.1424
1986,2,1.2018
1986,3,1.1541
1986,4,1.0692
1986,5,1.0013
1986,6,0.9047
1986,7,0.8254
1986,8,0.8193
1986,9,0.959
1986,10,1.1294
1986,11,1.1643
1986,12,1.3044
1987,1,1.4479
1987,2,1.4517
1987,3,1.3908
1987,4,1.4597
1987,5,1.6887
1987,6,1.7483
1987,7,1.8351
1987,8,1.9092
1987,9,1.8433
1987,10,1.6797
1987,11,1.6717
1987,12,1.6551
1988,1,1.5915
1988,2,1.4878
1988,3,1.4625
1988,4,1.4495
1988,5,1.4457
1988,6,1.5163
1988,7,1.3983
1988,8,1.2729
1988,9,1.2511
1988,10,1.2707
1988,11,1.2922
1988,12,1.3543
1989,1,1.3917
1989,2,1.3881
1989,3,1.4555
1989,4,1.6259
1989,5,1.705
1989,6,1.7377
1989,7,1.8301
1989,8,1.8292
1989,9,1.7957
1989,10,1.81
1989,11,1.8107
1989,12,1.7111
1990,1,1.6551
1990,2,1.6802
1990,3,1.7392
1990,4,1.8263
1990,5,1.8866
1990,6,1.9861
1990,7,2.0125
1990,8,1.7919
1990,9,1.7918
1990,10,1.7937
1990,11,1.8199
1990,12,1.8464
1991,1,1.8466
1991,2,1.8712
1991,3,1.857
1991,4,1.8262
1991,5,1.8153
1991,6,1.7849
1991,7,1.6992
1991,8,1.6197
1991,9,1.5487
1991,10,1.4978
1991,11,1.3991
1991,12,1.3632
1992,1,1.3144
1992,2,1.2412
1992,3,1.2197
1992,4,1.2838
1992,5,1.3357
1992,6,1.4085
1992,7,1.4394
1992,8,1.3173
1992,9,1.2489
1992,10,1.174
1992,11,1.1616
1992,12,1.1951
1993,1,1.261
1993,2,1.3324
1993,3,1.3575
1993,4,1.3459
1993,5,1.3272
1993,6,1.2993
1993,7,1.2749
1993,8,1.2236
1993,9,1.2167
1993,10,1.2081
1993,11,1.2106
1993,12,1.306
1994,1,1.5257
1994,2,1.7781
1994,3,1.8039
1994,4,1.8507
1994,5,1.8981
1994,6,1.8852
1994,7,1.8011
1994,8,1.6903
1994,9,1.6558
1994,10,1.6329
1994,11,1.7097
1994,12,1.9218
1995,1,2.108
1995,2,2.2254
1995,3,2.4362
1995,4,2.5079
1995,5,2.5335
1995,6,1.9996
1995,7,1.9258
1995,8,1.8753
1995,9,2.0102
1995,10,2.0093
1995,11,1.9663
1995,12,1.9373
1996,1,1.9003
1996,2,1.8749
1996,3,1.8345
1996,4,1.825
1996,5,1.8288
1996,6,1.8292
1996,7,1.758
1996,8,1.683
1996,9,1.6612
1996,10,1.6616
1996,11,1.677
1996,12,1.7465
1997,1,1.761
1997,2,1.7731
1997,3,1.7772
1997,4,1.7392
1997,5,1.7493
1997,6,1.7765
1997,7,1.7936
1997,8,1.7895
1997,9,1.7558
1997,10,1.7141
1997,11,1.7026
1997,12,1.6391
1998,1,1.5904
1998,2,1.5176
1998,3,1.5086
1998,4,1.4484
1998,5,1.4189
