report_date,market_year,role,production,domestic_use,imports,exports,beginning_stocks,ending_stocks,stocks_to_use_pct
April 2010,2007/08,est,119.91,122.97,38.99,38.47,63.13,62.66,51.0
April 2010,2008/09,est,107.4,109.78,30.01,30.13,62.66,62.75,57.2
April 2010,2009/10,proj,101.72,116.07,34.21,34.22,62.75,50.91,43.9
May 2010,2008/09,est,107.46,109.74,30.04,30.16,62.89,63.16,57.6
May 2010,2009/10,est,102.91,115.89,34.62,34.59,63.16,52.75,45.5
May 2010,2010/11,proj,113.88,119.08,35.73,35.72,52.75,50.13,42.1
June 2010,2008/09,est,107.48,109.94,30.04,30.16,62.61,62.7,57.0
June 2010,2009/10,est,102.89,116.43,35.7,35.26,62.7,52.21,44.8
June 2010,2010/11,proj,114.32,119.49,36.12,36.14,52.21,49.59,41.5
July 2010,2008/09,est,107.16,109.94,30.04,30.16,62.31,62.08,56.5
July 2010,2009/10,est,102.55,116.55,35.62,35.31,62.08,50.99,43.7
July 2010,2010/11,proj,116.02,119.7,37.05,37.02,50.99,49.91,41.7
August 2010,2008/09,est,107.16,109.94,30.07,30.11,60.69,60.53,55.1
August 2010,2009/10,est,102.15,117.71,36.21,35.65,60.53,47.58,40.4
August 2010,2010/11,proj,116.85,120.87,38.25,38.24,47.58,45.61,37.7
September 2010,2008/09,est,107.14,109.94,30.07,30.09,60.61,60.44,55.0
September 2010,2009/10,est,101.15,117.2,36.14,35.59,60.44,46.98,40.1
September 2010,2010/11,proj,116.95,120.53,37.96,37.96,46.98,45.44,37.7
October 2010,2008/09,est,107.14,109.94,30.03,30.07,60.61,60.42,55.0
October 2010,2009/10,est,101.36,117.74,36.19,35.54,60.42,46.69,39.7
October 2010,2010/11,proj,116.68,120.77,38.08,38.08,46.69,44.66,37.0
November 2010,2008/09,est,107.1,109.95,30.02,30.07,60.7,60.47,55.0
November 2010,2009/10,est,101.34,118.48,35.89,35.57,60.47,43.65,36.8
November 2010,2010/11,proj,115.25,116.82,38.86,38.85,43.65,42.2,36.1
December 2010,2008/09,est,107.1,109.95,30.02,30.07,60.73,60.52,55.0
December 2010,2009/10,est,101.54,118.38,35.89,35.6,60.52,44.0,37.2
December 2010,2010/11,proj,115.53,116.25,38.66,38.68,44.0,43.39,37.3
January 2011,2008/09,est,107.1,109.95,30.02,30.07,60.73,60.52,55.0
January 2011,2009/10,est,101.54,118.52,35.88,35.6,60.52,43.85,37.0
January 2011,2010/11,proj,115.46,116.58,38.32,38.35,43.85,42.84,36.7
February 2011,2008/09,est,107.1,110.07,30.14,30.07,60.73,60.52,55.0
February 2011,2009/10,est,101.54,118.52,35.98,35.55,60.52,43.99,37.1
February 2011,2010/11,proj,115.25,116.55,38.1,38.12,43.99,42.81,36.7
March 2011,2008/09,est,107.1,110.07,30.14,30.07,60.73,60.52,55.0
March 2011,2009/10,est,101.34,118.52,35.98,35.55,60.52,43.84,37.0
March 2011,2010/11,proj,114.95,116.61,38.59,38.58,43.84,42.33,36.3
April 2011,2008/09,est,107.1,110.07,30.14,30.07,60.73,60.52,55.0
April 2011,2009/10,est,101.34,118.52,36.16,35.58,60.52,43.99,37.1
April 2011,2010/11,proj,114.53,117.12,38.13,38.13,43.99,41.55,35.5
May 2011,2009/10,est,101.39,118.4,36.24,35.57,60.54,44.28,37.4
May 2011,2010/11,est,114.6,116.51,37.0,37.0,44.28,42.52,36.5
May 2011,2011/12,proj,124.72,119.5,39.86,39.87,42.52,47.93,40.1
June 2011,2009/10,est,101.38,118.4,36.24,35.57,60.54,44.28,37.4
June 2011,2010/11,est,114.29,115.51,35.95,35.9,44.28,43.24,37.4
June 2011,2011/12,proj,123.77,118.95,39.41,39.42,43.24,48.25,40.6
July 2011,2009/10,est,101.38,118.4,36.24,35.57,60.54,44.28,37.4
July 2011,2010/11,est,114.56,114.93,35.77,35.41,44.28,44.4,38.6
July 2011,2011/12,proj,123.16,116.75,38.29,38.29,44.4,51.0,43.7
August 2011,2009/10,est,101.38,118.4,36.24,35.57,60.54,44.28,37.4
August 2011,2010/11,est,114.59,113.93,35.21,35.3,44.28,44.99,39.5
August 2011,2011/12,proj,122.71,115.18,37.58,37.59,44.99,52.66,45.7
September 2011,2009/10,est,101.38,118.89,36.24,35.57,60.55,43.89,36.9
