market_year,production_mt,consumption_mt,balance_mt,import_demand_mt,export_availability_mt,end_stocks_mt,stock_to_use_pct,source,notes
2011/12,163.597,157.961,5.636,54.327,54.327,73.583,46.58,ISO WSB Feb-2026,
2012/13,171.804,163.645,8.159,60.781,60.781,81.742,49.95,ISO WSB Feb-2026,
2013/14,174.132,164.215,9.917,57.822,57.822,91.659,55.82,ISO WSB Aug-2026,
2014/15,169.373,167.079,2.294,58.419,58.419,93.953,56.23,ISO WSB Aug-2026,
2015/16,163.825,170.287,-6.462,67.814,66.943,88.362,51.89,ISO WSB Aug-2026,
2016/17,169.073,172.683,-3.61,66.512,65.442,86.492,50.09,ISO WSB Aug-2026,
2017/18,179.828,170.42,9.408,64.103,63.46,96.543,56.65,ISO WSB Aug-2026,
2018/19,174.435,169.315,5.12,57.639,57.639,103.525,61.14,ISO WSB Aug-2026,
2019/20,167.866,168.492,-0.626,65.768,65.717,102.95,61.1,ISO WSB Aug-2026,
2020/21,168.702,169.266,-0.564,64.901,64.858,102.544,60.58,ISO WSB Aug-2026,
2021/22,172.189,176.066,-3.877,67.79,67.663,98.801,56.12,ISO WSB Aug-2026,ISO 2024年起回溯修订: -2.655(Nov-2023旧) → -3.877(Aug-2026最新)
2022/23,175.473,177.344,-1.871,68.435,68.446,96.919,54.65,ISO WSB Aug-2026,"ISO 2024年起回溯修订: +0.310(Nov-2023旧) → -1.871(Aug-2026最新, 库存重审后)"
2023/24,180.954,181.207,-0.253,71.616,71.521,96.761,53.4,ISO WSB Aug-2026,"消费上修至 181.207 创纪录(Aug-2025 曾报 181.639, Nov-2025起修正)"
2024/25,174.994,178.637,-3.643,67.876,67.876,,,ISO WSB Aug-2026,缺口终值 -3.643(Aug-2026); 区间修订轨迹见 revision_timeline_2024_25_mt
2025/26,180.695,179.551,1.144,67.328,67.299,,,ISO WSB Aug-2026,官方终值 surplus +1.144(Aug-2026); 修订链 -0.231→1.625→1.218→2.244→1.144
2026/27,180.141,180.375,-0.234,66.908,68.184,,,ISO WSB Aug-2026 首版,首版(Aug-2026): 产销差 -0.234; 库存/库消比因数据重审未发布
