time,open,high,low,close
2016-09-26,33.520,33.940,33.230,33.390
2016-09-27,33.370,33.490,32.900,33.350
2016-09-28,33.360,33.360,32.670,32.890
2016-09-29,32.980,33.350,32.890,33.320
2016-09-30,33.300,33.750,33.000,33.310
2016-10-03,33.320,33.350,32.730,33.230
2016-10-04,33.300,33.300,32.780,33.140
2016-10-05,33.160,33.200,32.500,32.800
2016-10-06,32.790,33.350,32.650,33.310
2016-10-07,33.370,33.470,33.050,33.300
2016-10-10,33.410,34.040,33.090,33.900
2016-10-11,33.960,34.090,33.320,33.390
2016-10-12,33.430,33.910,33.280,33.350
2016-10-13,33.400,33.620,32.880,33.400
2016-10-14,33.440,34.600,33.330,34.370
2016-10-17,34.480,35.570,34.440,35.440
2016-10-18,35.410,35.690,34.920,35.140
2016-10-19,35.240,35.600,34.970,35.410
2016-10-20,35.440,35.630,34.900,35.040
2016-10-21,35.060,35.260,34.660,35.120
2016-10-24,35.170,36.230,35.050,35.920
2016-10-25,36.100,36.200,35.620,35.790
2016-10-26,35.820,36.040,35.640,35.680
2016-10-27,35.680,35.900,35.080,35.230
2016-10-28,35.020,35.690,35.010,35.390
2016-10-31,35.430,35.480,35.070,35.190
2016-11-01,35.180,35.390,34.720,34.810
2016-11-02,34.840,35.050,34.560,34.960
2016-11-03,34.980,35.250,34.820,35.040
2016-11-04,35.090,35.130,34.510,34.720
2016-11-07,34.720,34.990,34.530,34.840
2016-11-08,34.840,35.550,34.820,35.330
2016-11-09,35.330,35.410,34.270,34.320
2016-11-10,34.320,35.060,34.320,34.830
2016-11-11,34.830,35.720,34.100,34.440
2016-11-14,34.440,34.650,33.750,33.940
2016-11-15,34.000,34.250,33.810,34.230
2016-11-16,34.490,34.930,34.200,34.340
2016-11-17,34.340,34.580,33.860,33.930
2016-11-18,33.930,34.560,33.720,34.400
2016-11-21,34.400,35.040,34.370,34.910
2016-11-22,34.910,35.180,34.680,34.810
2016-11-23,34.810,37.270,34.400,37.070
2016-11-24,37.070,37.070,37.070,37.070
2016-11-25,37.070,37.190,36.580,36.940
2016-11-28,36.940,37.630,36.750,36.940
2016-11-29,36.940,37.250,36.350,36.620
2016-11-30,36.620,37.300,36.520,36.920
2016-12-01,36.920,38.040,36.800,37.850
2016-12-02,37.850,37.930,37.440,37.740
2016-12-05,37.740,38.000,37.520,37.670
2016-12-06,37.670,38.280,37.520,37.780
2016-12-07,37.780,38.350,37.540,37.830
2016-12-08,37.830,37.830,36.960,37.380
2016-12-09,37.380,37.460,36.630,36.870
2016-12-12,36.870,37.450,36.770,36.940
2016-12-13,36.940,37.220,36.570,36.770
2016-12-14,36.770,37.050,36.610,36.920
2016-12-15,36.920,37.280,36.600,36.750
2016-12-16,37.030,37.300,36.810,37.080
2016-12-19,37.080,37.440,36.680,36.850
2016-12-20,36.850,36.920,36.320,36.380
2016-12-21,36.380,36.590,36.190,36.440
2016-12-22,36.440,36.460,35.060,35.170
2016-12-23,35.170,35.390,34.570,35.000
2016-12-26,35.000,35.000,35.000,35.000
2016-12-27,35.000,35.630,34.850,35.360
2016-12-28,35.360,35.530,34.670,35.130
2016-12-29,35.130,35.190,34.750,34.790
2016-12-30,34.790,35.020,34.620,34.690
2017-01-02,34.690,34.690,34.690,34.690
2017-01-03,34.690,35.000,34.620,34.880
2017-01-04,34.880,35.550,34.540,35.170
2017-01-05,35.170,35.430,35.040,35.170
2017-01-06,35.170,35.350,34.860,35.000
2017-01-09,35.000,35.510,34.890,35.460
2017-01-10,35.460,35.750,34.990,35.610
2017-01-11,35.610,36.080,35.380,35.960
2017-01-12,35.960,36.960,35.610,36.020
2017-01-13,36.020,36.200,35.500,35.560
2017-01-16,35.560,35.560,35.560,35.560
2017-01-17,35.560,36.070,35.500,35.510
2017-01-18,35.510,35.910,35.510,35.640
2017-01-19,35.640,35.820,35.350,35.460
2017-01-20,35.460,35.550,35.110,35.120
2017-01-23,35.120,35.520,35.100,35.170
2017-01-24,35.170,35.590,35.170,35.310
2017-01-25,35.310,35.310,34.750,34.880
2017-01-26,34.880,35.000,34.110,34.410
2017-01-27,34.410,34.520,34.020,34.340
2017-01-30,34.340,34.340,33.330,33.630
2017-01-31,33.630,34.080,33.550,33.830
2017-02-01,33.830,34.430,33.800,34.310
2017-02-02,34.310,34.750,34.150,34.550
2017-02-03,34.550,34.740,33.800,33.840
2017-02-06,33.840,34.480,33.840,34.450
2017-02-07,34.450,34.640,34.090,34.340
2017-02-08,34.340,34.830,34.250,34.660
2017-02-09,34.660,34.980,34.470,34.640
2017-02-10,34.640,34.960,34.360,34.580
2017-02-13,34.580,34.680,34.130,34.210
2017-02-14,34.210,34.320,33.750,34.180
2017-02-15,34.180,34.440,33.910,33.920
2017-02-16,34.200,34.380,33.760,33.860
2017-02-17,33.860,33.930,33.120,33.190
2017-02-20,33.190,33.190,33.190,33.190
2017-02-21,33.190,33.440,32.770,32.900
2017-02-22,32.900,33.390,32.900,33.080
2017-02-23,33.080,33.190,32.510,32.650
