time,open,high,low,close
2019-06-27,12.350,12.790,12.300,12.770
2019-06-28,12.780,12.840,12.570,12.590
2019-07-01,12.710,12.820,12.500,12.540
2019-07-02,12.540,12.610,12.250,12.330
2019-07-03,12.350,12.620,12.300,12.550
2019-07-05,12.570,12.650,12.330,12.340
2019-07-08,12.380,12.550,12.340,12.440
2019-07-09,12.430,12.430,12.260,12.380
2019-07-10,12.400,12.540,12.310,12.470
2019-07-11,12.500,12.620,12.360,12.370
2019-07-12,12.380,12.420,12.280,12.300
2019-07-15,12.300,12.320,11.950,12.040
2019-07-16,12.060,12.070,11.900,12.010
2019-07-17,12.050,12.140,11.760,11.790
2019-07-18,11.810,11.840,11.530,11.590
2019-07-19,11.590,11.700,11.560,11.580
2019-07-22,11.610,11.660,11.540,11.560
2019-07-23,11.560,11.990,11.390,11.950
2019-07-24,11.940,12.230,11.850,12.110
2019-07-25,12.120,12.200,11.930,11.980
2019-07-26,12.020,12.110,11.930,12.010
2019-07-29,12.040,12.210,12.000,12.060
2019-07-30,12.070,12.300,12.050,12.170
2019-07-31,12.150,12.230,12.030,12.200
2019-08-01,12.160,12.220,12.010,12.140
2019-08-02,12.110,12.120,11.890,12.000
2019-08-05,11.970,12.040,11.690,11.820
2019-08-06,11.780,12.000,11.700,11.750
2019-08-07,11.750,11.780,11.270,11.320
2019-08-08,11.370,11.500,11.330,11.450
2019-08-09,11.430,11.900,11.430,11.880
2019-08-12,11.890,11.960,11.480,11.580
2019-08-13,11.600,11.830,11.500,11.710
2019-08-14,11.720,11.810,11.570,11.640
2019-08-15,11.620,11.740,11.510,11.600
2019-08-16,11.620,11.690,11.560,11.620
2019-08-19,11.600,11.610,11.410,11.440
2019-08-20,11.430,11.550,11.370,11.420
2019-08-21,11.440,11.540,11.370,11.390
2019-08-22,11.410,11.640,11.380,11.610
2019-08-23,11.610,11.650,11.440,11.460
2019-08-26,11.450,11.610,11.410,11.440
2019-08-27,11.420,11.480,11.160,11.250
2019-08-28,11.260,11.460,11.090,11.380
2019-08-29,11.380,11.450,11.150,11.200
2019-08-30,11.200,11.300,11.050,11.150
2019-09-03,11.200,11.400,11.080,11.170
2019-09-04,11.160,11.270,11.000,11.010
2019-09-05,11.040,11.140,10.860,10.970
2019-09-06,11.000,11.070,10.910,11.000
2019-09-09,11.050,11.100,10.900,10.900
2019-09-10,10.890,11.070,10.850,10.860
2019-09-11,10.880,10.920,10.730,10.820
2019-09-12,11.840,11.890,11.740,11.820
2019-09-13,11.830,12.070,11.820,11.940
2019-09-16,12.150,12.480,12.100,12.240
2019-09-17,12.260,12.370,12.070,12.120
2019-09-18,12.070,12.190,12.040,12.070
2019-09-19,12.060,12.130,11.920,12.050
2019-09-20,12.000,12.090,11.960,12.080
2019-09-23,12.100,12.280,12.100,12.170
2019-09-24,12.190,12.500,12.170,12.400
2019-09-25,12.410,12.700,12.390,12.690
2019-09-26,12.700,12.720,12.580,12.600
2019-09-27,12.560,12.700,12.510,12.610
2019-09-30,12.620,12.850,12.570,12.680
2019-10-01,12.650,12.900,12.630,12.880
2019-10-02,12.880,12.930,12.780,12.870
2019-10-03,12.870,12.890,12.590,12.730
2019-10-04,12.720,12.830,12.690,12.750
2019-10-07,12.710,12.710,12.310,12.540
2019-10-08,12.590,12.590,12.360,12.460
2019-10-09,12.430,12.550,12.380,12.390
2019-10-10,12.390,12.480,12.320,12.380
2019-10-11,12.400,12.480,12.220,12.380
2019-10-14,12.440,12.590,12.430,12.490
2019-10-15,12.500,12.620,12.350,12.560
2019-10-16,12.530,12.550,12.280,12.340
2019-10-17,12.340,12.460,12.210,12.210
2019-10-18,12.210,12.340,12.200,12.300
2019-10-21,12.340,12.390,12.200,12.290
2019-10-22,12.270,12.280,12.100,12.180
2019-10-23,12.130,12.250,12.050,12.190
2019-10-24,12.170,12.330,12.170,12.270
2019-10-25,12.250,12.390,12.230,12.310
2019-10-28,12.350,12.590,12.340,12.520
2019-10-29,12.530,12.550,12.280,12.340
2019-10-30,12.340,12.440,12.240,12.410
2019-10-31,12.420,12.520,12.310,12.430
2019-11-01,12.470,12.520,12.340,12.460
2019-11-04,12.480,12.570,12.440,12.500
2019-11-05,12.510,12.730,12.490,12.690
2019-11-06,12.710,12.710,12.540,12.550
2019-11-07,12.560,12.560,12.350,12.350
2019-11-08,12.360,12.610,12.290,12.550
2019-11-11,12.560,12.670,12.460,12.590
2019-11-12,12.620,12.630,12.510,12.610
2019-11-13,12.620,12.910,12.570,12.820
2019-11-14,12.830,12.890,12.770,12.780
2019-11-15,12.810,12.840,12.680,12.720
2019-11-18,12.730,12.800,12.600,12.740
2019-11-19,12.680,12.750,12.660,12.700
2019-11-20,12.690,12.810,12.680,12.720
2019-11-21,12.740,12.770,12.570,12.630
2019-11-22,12.630,12.870,12.620,12.800
2019-11-25,12.780,12.860,12.740,12.790
2019-11-26,12.800,12.890,12.660,12.740
2019-11-27,12.740,12.830,12.720,12.770
2019-11-29,12.800,13.010,12.780,12.940
2019-12-02,12.970,12.970,12.730,12.740
2019-12-03,12.750,12.920,12.740,12.880
2019-12-04,12.890,13.100,12.880,13.030
2019-12-05,13.060,13.170,13.000,13.060
2019-12-06,13.080,13.210,13.070,13.190
2019-12-09,13.210,13.420,13.190,13.330
2019-12-10,13.380,13.490,13.310,13.460
2019-12-11,13.460,13.510,13.280,13.380
2019-12-12,13.380,13.550,13.340,13.510
2019-12-13,13.520,13.670,13.470,13.480
2019-12-16,13.450,13.580,13.220,13.290
2019-12-17,13.320,13.410,13.230,13.260
2019-12-18,13.270,13.500,13.260,13.410
2019-12-19,13.400,13.620,13.390,13.550
2019-12-20,13.550,13.590,13.470,13.550
2019-12-23,13.540,13.570,13.410,13.480
2019-12-24,13.470,13.490,13.360,13.370
2019-12-26,13.370,13.530,13.360,13.420
2019-12-27,13.480,13.600,13.420,13.530
2019-12-30,13.540,13.580,13.450,13.540
2019-12-31,13.540,13.560,13.390,13.410
2020-01-02,13.470,13.530,13.100,13.140
2020-01-03,13.230,13.400,13.200,13.300
2020-01-06,13.370,13.760,13.370,13.700
2020-01-07,13.750,13.790,13.550,13.600
2020-01-08,13.690,13.740,13.410,13.480
2020-01-09,13.490,13.760,13.400,13.680
2020-01-10,13.690,14.120,13.630,14.100
2020-01-13,14.090,14.240,13.980,14.150
2020-01-14,14.180,14.530,14.130,14.310
2020-01-15,14.280,14.570,14.220,14.520
2020-01-16,14.510,14.580,14.320,14.390
2020-01-17,14.460,14.500,14.340,14.450
2020-01-21,14.500,14.590,14.400,14.550
2020-01-22,14.550,14.790,14.530,14.640
2020-01-23,14.660,14.900,14.500,14.550
2020-01-24,14.570,14.690,14.260,14.350
2020-01-27,14.340,14.340,14.100,14.200
2020-01-28,14.190,14.750,14.050,14.520
2020-01-29,14.540,14.870,14.420,14.460
2020-01-30,14.430,14.720,14.360,14.590
2020-01-31,14.640,14.810,14.520,14.540
2020-02-03,14.540,15.010,14.420,14.900
2020-02-04,14.950,15.130,14.640,14.640
2020-02-05,14.710,14.860,14.590,14.740
2020-02-06,14.770,14.800,14.540,14.760
