time,open,high,low,close
2016-09-26,333.750,336.500,328.500,328.750
2016-09-27,329.250,332.500,327.250,332.000
2016-09-28,331.750,332.500,328.750,329.750
2016-09-29,329.750,333.500,328.000,329.250
2016-09-30,329.000,337.500,325.000,336.250
2016-10-03,336.250,347.750,335.250,346.000
2016-10-04,345.000,349.000,343.500,348.000
2016-10-05,348.000,349.250,345.250,347.500
2016-10-06,347.250,347.750,338.500,341.000
2016-10-07,340.750,344.750,339.500,339.750
2016-10-10,339.500,344.250,339.250,343.000
2016-10-11,342.750,347.000,341.000,346.250
2016-10-12,345.000,348.500,336.500,337.250
2016-10-13,337.500,349.750,337.250,349.750
2016-10-14,349.500,358.750,348.750,353.500
2016-10-17,353.250,357.750,350.250,354.500
2016-10-18,354.250,357.500,351.500,353.500
2016-10-19,353.750,358.000,351.000,358.000
2016-10-20,357.500,359.250,349.250,350.750
2016-10-21,351.000,354.250,350.500,352.250
2016-10-24,351.500,354.500,346.250,348.750
2016-10-25,348.000,352.250,347.250,349.750
2016-10-26,349.250,355.750,349.000,354.500
2016-10-27,353.750,358.500,352.250,357.750
2016-10-28,357.500,358.250,354.250,355.250
2016-10-31,355.000,358.000,352.250,354.500
2016-11-01,354.250,354.750,347.250,348.750
2016-11-02,349.000,350.500,344.250,346.750
2016-11-03,346.500,348.750,345.000,348.250
2016-11-04,347.750,349.750,345.500,348.000
2016-11-07,348.000,349.500,345.000,346.500
2016-11-08,346.000,356.500,345.000,353.500
2016-11-09,353.500,355.000,340.500,341.250
2016-11-10,341.250,346.500,340.250,342.250
2016-11-11,342.250,345.000,339.000,340.750
2016-11-14,340.750,341.000,335.500,337.000
2016-11-15,336.750,342.250,335.750,342.000
2016-11-16,349.000,351.250,346.250,347.500
2016-11-17,347.500,351.000,345.750,350.000
2016-11-18,350.000,354.250,348.250,353.750
2016-11-21,353.750,358.000,352.750,357.750
2016-11-22,357.750,359.500,354.000,358.750
2016-11-23,358.750,359.500,354.250,359.000
2016-11-24,359.000,359.000,359.000,359.000
2016-11-25,359.000,359.250,357.250,358.000
2016-11-28,358.000,362.500,355.750,358.000
2016-11-29,358.000,358.000,348.000,348.000
2016-11-30,349.000,353.000,347.750,348.500
2016-12-01,349.000,349.750,341.750,343.250
2016-12-02,343.250,347.750,343.000,347.000
2016-12-05,347.000,359.750,347.000,358.250
2016-12-06,358.000,364.000,357.500,359.000
2016-12-07,359.000,360.500,356.000,358.250
2016-12-08,358.250,360.000,350.250,354.250
2016-12-09,354.250,359.750,351.250,358.750
2016-12-12,358.750,361.000,356.000,360.000
2016-12-13,360.000,364.750,359.250,361.500
2016-12-14,361.500,362.000,358.250,361.750
2016-12-15,361.500,363.000,356.250,356.250
2016-12-16,356.250,359.000,353.500,357.250
2016-12-19,357.250,357.250,351.500,353.750
2016-12-20,353.750,353.750,349.250,350.250
2016-12-21,350.000,351.250,346.750,347.500
2016-12-22,347.250,348.000,346.000,347.500
2016-12-23,347.000,347.750,345.500,345.750
2016-12-26,345.750,345.750,345.750,345.750
2016-12-27,345.750,356.000,345.750,355.000
2016-12-28,355.000,355.000,347.250,348.500
2016-12-29,348.250,351.000,347.500,349.750
2016-12-30,349.500,353.000,347.750,351.000
2017-01-02,351.000,351.000,351.000,351.000
2017-01-03,351.000,358.500,351.000,355.750
2017-01-04,355.750,360.000,354.750,360.000
2017-01-05,360.000,362.750,358.500,361.250
2017-01-06,361.250,362.500,356.750,358.750
2017-01-09,358.750,360.750,355.250,359.500
2017-01-10,359.500,359.500,357.250,357.500
2017-01-11,357.500,358.250,352.000,357.000
2017-01-12,357.000,360.000,353.000,358.000
2017-01-13,358.000,359.500,355.250,358.750
2017-01-16,358.750,358.750,358.750,358.750
2017-01-17,358.750,366.500,358.500,365.250
2017-01-18,365.250,367.750,362.750,364.250
2017-01-19,364.250,367.500,362.750,366.500
