time,open,high,low,close
2016-09-26,951.000,960.250,943.750,946.750
2016-09-27,946.750,953.500,934.000,953.000
2016-09-28,951.500,955.750,944.500,945.500
2016-09-29,947.000,957.250,946.000,950.750
2016-09-30,949.000,958.500,943.000,953.500
2016-10-03,952.000,975.000,946.500,974.500
2016-10-04,970.750,972.000,960.250,962.750
2016-10-05,964.000,967.500,950.500,955.750
2016-10-06,956.500,959.750,947.250,959.500
2016-10-07,958.500,973.250,955.250,956.750
2016-10-10,956.000,964.250,950.000,953.750
2016-10-11,953.750,960.750,951.500,956.000
2016-10-12,953.250,971.250,943.250,946.000
2016-10-13,946.250,959.500,937.250,955.000
2016-10-14,954.750,974.250,952.000,962.750
2016-10-17,969.250,986.750,968.750,986.750
2016-10-18,985.500,994.750,980.250,980.750
2016-10-19,980.750,991.750,979.750,990.750
2016-10-20,989.500,998.750,982.500,985.250
2016-10-21,985.250,993.250,983.250,993.250
2016-10-24,991.750,1009.000,989.250,1001.250
2016-10-25,1000.750,1008.000,992.250,1001.250
2016-10-26,1001.250,1022.000,1000.250,1020.500
2016-10-27,1018.750,1031.000,1013.500,1024.000
2016-10-28,1023.750,1028.000,1010.000,1012.000
2016-10-31,1012.750,1018.000,1006.000,1013.000
2016-11-01,1010.750,1016.000,991.750,992.000
2016-11-02,991.750,995.750,983.000,986.750
2016-11-03,986.000,994.000,985.500,989.750
2016-11-04,989.750,994.750,984.000,991.250
2016-11-07,991.250,1001.750,990.000,999.000
2016-11-08,999.000,1020.750,997.000,1010.500
2016-11-09,1010.500,1017.500,984.250,992.500
2016-11-10,992.500,1019.000,989.000,1002.000
2016-11-11,1002.000,1018.000,977.000,987.750
2016-11-14,987.750,989.750,975.250,985.000
2016-11-15,985.000,992.750,978.750,991.750
2016-11-16,991.750,997.750,982.750,985.250
2016-11-17,985.250,993.750,981.000,990.500
2016-11-18,990.500,996.500,982.250,995.000
2016-11-21,995.000,1021.500,995.000,1021.250
2016-11-22,1021.250,1033.250,1015.250,1031.500
2016-11-23,1031.500,1035.750,1017.250,1035.000
2016-11-24,1035.000,1035.000,1035.000,1035.000
2016-11-25,1035.000,1046.750,1029.500,1044.750
2016-11-28,1044.750,1065.000,1042.500,1055.750
2016-11-29,1055.750,1058.750,1039.250,1043.500
2016-11-30,1043.500,1052.750,1031.250,1032.250
2016-12-01,1032.250,1040.000,1022.250,1032.250
2016-12-02,1032.250,1037.750,1026.500,1028.500
2016-12-05,1028.500,1049.750,1027.750,1043.250
2016-12-06,1043.250,1061.750,1039.000,1047.500
2016-12-07,1047.500,1053.000,1039.750,1049.750
2016-12-08,1049.000,1049.000,1023.500,1025.500
2016-12-09,1025.500,1039.500,1021.500,1039.000
2016-12-12,1039.000,1047.500,1026.500,1031.500
2016-12-13,1031.500,1038.750,1025.250,1027.500
2016-12-14,1027.500,1029.250,1020.750,1024.750
2016-12-15,1024.750,1038.500,1018.500,1030.250
2016-12-16,1040.500,1048.000,1033.000,1046.750
2016-12-19,1046.750,1049.000,1030.500,1033.250
2016-12-20,1033.250,1034.750,1014.250,1016.250
2016-12-21,1016.250,1022.500,1015.250,1018.750
2016-12-22,1017.500,1019.000,1003.000,1004.500
2016-12-23,1004.000,1006.750,997.000,999.000
2016-12-26,999.000,999.000,999.000,999.000
2016-12-27,999.000,1024.750,998.000,1023.750
2016-12-28,1023.750,1028.250,1011.250,1016.500
2016-12-29,1016.250,1024.250,1011.500,1012.000
2016-12-30,1012.000,1018.500,1002.500,1005.000
2017-01-02,1005.000,1005.000,1005.000,1005.000
2017-01-03,1005.000,1011.750,994.500,996.250
2017-01-04,996.250,1015.750,992.750,1014.250
2017-01-05,1014.250,1016.000,1007.500,1012.250
2017-01-06,1012.250,1014.750,993.500,995.250
2017-01-09,995.250,1006.000,993.500,1004.750
2017-01-10,1004.750,1015.000,997.250,1013.000
2017-01-11,1013.000,1016.500,1001.000,1010.000
2017-01-12,1010.000,1041.250,1006.000,1039.500
2017-01-13,1039.500,1052.750,1032.500,1044.250
2017-01-16,1044.250,1044.250,1044.250,1044.250
2017-01-17,1044.250,1075.500,1044.250,1067.500
2017-01-18,1067.500,1080.000,1062.500,1074.250
2017-01-19,1074.250,1077.250,1066.750,1070.000
2017-01-20,1070.000,1071.250,1060.000,1067.750
2017-01-23,1067.750,1069.750,1055.250,1060.000
2017-01-24,1060.000,1068.000,1051.250,1058.750
2017-01-25,1058.750,1060.000,1050.000,1056.250
2017-01-26,1056.250,1058.500,1045.500,1048.500
2017-01-27,1048.500,1052.000,1043.250,1049.250
2017-01-30,1049.250,1049.250,1019.250,1022.500
2017-01-31,1022.500,1026.500,1020.500,1024.250
2017-02-01,1024.250,1037.500,1017.000,1037.250
2017-02-02,1037.250,1041.750,1031.250,1035.500
2017-02-03,1035.500,1044.250,1026.250,1026.500
2017-02-06,1026.500,1042.500,1026.250,1037.500
2017-02-07,1037.500,1043.250,1032.000,1041.500
2017-02-08,1041.500,1059.750,1040.000,1058.500
2017-02-09,1058.500,1061.500,1045.000,1049.750
2017-02-10,1050.000,1063.500,1047.500,1058.000
2017-02-13,1058.000,1061.750,1050.500,1055.500
2017-02-14,1055.500,1056.000,1042.500,1045.500
2017-02-15,1045.500,1061.500,1040.250,1061.250
2017-02-16,1071.750,1073.250,1053.500,1054.750
2017-02-17,1054.750,1057.250,1042.000,1046.000
2017-02-20,1046.000,1046.000,1046.000,1046.000
2017-02-21,1046.000,1054.750,1036.750,1037.500
2017-02-22,1037.500,1042.500,1033.000,1033.250
2017-02-23,1033.250,1037.500,1021.000,1025.000
2017-02-24,1025.000,1027.250,1020.000,1025.000
2017-02-27,1025.000,1029.250,1017.000,1024.500
2017-02-28,1024.500,1056.250,1023.250,1037.250
2017-03-01,1037.250,1052.250,1035.000,1052.000
2017-03-02,1052.000,1052.000,1032.000,1037.250
2017-03-03,1037.000,1041.000,1028.750,1037.000
2017-03-06,1037.000,1048.500,1035.750,1038.000
2017-03-07,1038.000,1041.750,1022.250,1025.750
2017-03-08,1025.750,1027.750,1018.500,1021.250
2017-03-09,1021.250,1022.750,1006.250,1011.000
2017-03-10,1011.000,1012.750,1003.000,1007.250
2017-03-13,1006.250,1010.250,1003.500,1006.250
2017-03-14,1006.750,1008.000,992.000,999.000
2017-03-15,998.250,1007.750,995.250,997.250
2017-03-16,999.750,1006.500,995.750,1001.500
2017-03-17,1001.750,1004.500,994.250,1000.250
2017-03-20,1003.250,1008.750,998.250,998.250
2017-03-21,1000.000,1008.000,995.000,1000.750
2017-03-22,1000.750,1003.250,994.000,998.500
2017-03-23,999.250,1002.000,990.250,990.250
2017-03-24,990.500,991.000,972.250,975.500
2017-03-27,976.750,978.500,968.250,971.000
2017-03-28,971.500,976.500,970.000,970.500
2017-03-29,971.000,976.000,967.250,969.500
2017-03-30,969.500,970.000,961.000,962.000
2017-03-31,962.000,966.500,944.250,944.750
2017-04-03,946.500,949.250,937.250,939.500
2017-04-04,939.500,942.750,936.500,938.750
2017-04-05,937.750,948.500,937.250,944.000
2017-04-06,944.000,946.500,938.500,938.500
2017-04-07,939.000,945.500,937.500,941.750
2017-04-10,944.000,949.000,939.250,941.750
2017-04-11,941.750,945.000,929.750,942.250
2017-04-12,942.750,951.500,941.250,948.500
2017-04-13,946.750,959.500,946.750,957.250
2017-04-14,957.250,957.250,957.250,957.250
2017-04-17,968.250,972.500,962.000,962.500
2017-04-18,962.750,965.500,950.000,957.000
2017-04-19,957.250,964.500,952.750,961.000
2017-04-20,960.250,966.250,956.000,956.250
2017-04-21,955.500,962.500,954.500,960.750
2017-04-24,962.250,972.500,962.000,970.250
2017-04-25,969.500,971.250,964.500,965.750
2017-04-26,965.500,968.500,955.250,956.000
2017-04-27,956.250,961.250,954.250,956.500
2017-04-28,957.000,958.500,952.500,955.500
2017-05-01,959.500,974.750,958.500,969.750
2017-05-02,969.250,978.500,965.250,969.250
2017-05-03,969.250,975.000,966.500,973.000
2017-05-04,976.500,980.000,969.500,975.250
2017-05-05,973.750,983.000,967.750,973.750
2017-05-08,971.000,974.750,963.250,964.000
2017-05-09,965.000,977.250,963.500,973.500
2017-05-10,974.000,989.000,966.750,969.750
2017-05-11,971.500,975.750,963.000,965.500
2017-05-12,965.250,967.750,960.500,963.500
2017-05-15,962.750,973.000,962.000,965.750
2017-05-16,965.250,977.250,964.000,975.750
2017-05-17,975.250,980.500,973.500,975.750
2017-05-18,972.250,972.500,942.750,944.500
2017-05-19,945.250,956.250,944.500,953.250
2017-05-22,954.000,961.000,954.000,957.750
2017-05-23,956.500,959.250,947.000,949.500
2017-05-24,949.000,952.000,943.000,947.750
2017-05-25,947.500,952.250,938.250,938.500
2017-05-26,939.750,941.000,925.250,926.000
2017-05-29,926.000,926.000,926.000,926.000
2017-05-30,927.500,928.500,910.500,912.000
2017-05-31,915.000,920.500,909.500,916.000
2017-06-01,916.500,920.750,911.500,913.500
2017-06-02,913.000,924.000,910.750,923.500
2017-06-05,925.500,926.500,917.750,921.000
2017-06-06,920.750,934.250,920.000,924.500
2017-06-07,924.500,934.500,924.500,930.250
2017-06-08,931.250,944.750,930.750,937.500
2017-06-09,937.250,944.000,932.750,941.750
2017-06-12,941.750,943.250,930.250,932.000
2017-06-13,933.750,941.500,931.750,933.250
2017-06-14,932.500,939.000,931.000,931.750
2017-06-15,931.000,938.500,925.500,936.250
2017-06-16,939.250,946.000,936.000,944.500
2017-06-19,940.750,951.750,938.250,941.750
2017-06-20,941.500,944.750,929.750,933.250
2017-06-21,933.000,936.000,921.250,924.000
2017-06-22,924.000,924.500,907.000,910.250
2017-06-23,906.500,909.000,900.250,905.500
2017-06-26,904.250,912.250,903.750,906.250
2017-06-27,909.000,918.000,909.000,911.000
2017-06-28,911.500,917.500,911.250,913.250
2017-06-29,914.500,927.750,914.250,915.250
2017-06-30,915.000,945.500,912.250,940.250
2017-07-03,957.000,980.750,956.000,969.750
2017-07-04,969.750,969.750,969.750,969.750
2017-07-05,969.750,986.500,969.250,982.750
2017-07-06,984.000,987.500,973.500,985.000
2017-07-07,985.000,1003.500,983.000,997.750
2017-07-10,1013.000,1029.500,1011.250,1025.500
2017-07-11,1027.000,1032.500,1008.000,1028.000
2017-07-12,1026.500,1031.000,1010.500,1022.250
2017-07-13,1013.250,1015.500,974.500,976.000
2017-07-14,974.750,992.000,972.250,990.000
2017-07-17,989.000,995.000,981.750,985.500
2017-07-18,998.000,1004.250,985.750,989.750
2017-07-19,991.000,1004.750,984.500,999.250
2017-07-20,999.250,1017.250,995.000,1015.000
2017-07-21,1011.000,1013.250,1001.750,1008.500
2017-07-24,999.000,1000.500,985.750,996.750
2017-07-25,1012.500,1022.750,981.000,981.000
2017-07-26,980.500,991.000,973.250,990.000
2017-07-27,991.250,1000.750,987.500,993.000
2017-07-28,993.250,1007.500,989.750,999.750
2017-07-31,990.750,996.500,982.500,993.250
2017-08-01,988.500,992.750,962.250,963.000
2017-08-02,964.500,973.750,963.250,969.000
2017-08-03,969.000,969.500,949.000,955.000
2017-08-04,953.750,959.500,949.750,952.250
2017-08-07,957.750,966.500,955.000,962.000
2017-08-08,965.750,973.750,963.750,965.750
2017-08-09,967.250,971.250,960.250,965.750
2017-08-10,966.500,981.000,932.000,937.500
2017-08-11,935.250,939.500,930.250,939.500
2017-08-14,931.250,934.000,925.000,932.750
2017-08-15,932.500,934.250,920.250,922.750
2017-08-16,921.000,925.250,917.250,923.000
2017-08-17,924.000,931.750,922.000,931.000
2017-08-18,930.000,939.000,928.000,937.500
2017-08-21,935.750,936.000,930.250,932.500
2017-08-22,931.750,938.500,927.750,933.750
2017-08-23,941.750,943.250,929.000,935.000
2017-08-24,934.250,942.750,932.250,941.250
2017-08-25,940.000,941.750,937.250,939.750
2017-08-28,936.250,944.000,932.500,935.500
2017-08-29,934.500,937.250,929.500,929.500
2017-08-30,929.500,933.750,921.750,922.250
2017-08-31,922.250,939.750,922.250,936.250
2017-09-01,945.250,952.000,943.000,950.250
2017-09-04,950.250,950.250,950.250,950.250
2017-09-05,954.750,973.500,952.250,968.750
2017-09-06,967.500,976.750,964.750,971.250
2017-09-07,970.500,977.500,965.750,969.000
2017-09-08,967.750,976.750,961.500,961.500
2017-09-11,964.000,968.500,956.750,961.250
2017-09-12,961.000,965.500,937.500,946.750
2017-09-13,949.500,963.250,946.750,961.750
2017-09-14,960.750,978.250,960.250,976.500
2017-09-15,975.500,977.750,967.250,968.500
2017-09-18,967.000,976.500,966.250,968.000
2017-09-19,968.500,971.750,958.500,966.750
2017-09-20,966.750,974.000,964.750,970.500
2017-09-21,969.750,973.000,963.000,970.750
2017-09-22,969.750,987.000,969.000,985.250
2017-09-25,983.250,985.750,971.000,971.250
2017-09-26,971.250,974.250,962.500,963.500
2017-09-27,963.500,968.500,958.000,965.250
2017-09-28,965.000,966.000,957.500,960.750
2017-09-29,959.500,976.000,955.250,967.750
2017-10-02,967.250,968.000,956.250,956.750
2017-10-03,956.250,961.250,952.500,956.000
2017-10-04,955.250,961.750,952.750,958.250
2017-10-05,958.250,971.000,957.750,968.750
2017-10-06,968.000,973.750,963.500,973.000
2017-10-09,974.750,977.000,965.250,967.250
2017-10-10,966.500,975.750,964.250,966.750
2017-10-11,965.500,967.500,963.500,966.000
2017-10-12,965.000,997.750,959.000,993.000
2017-10-13,991.000,1003.250,990.250,999.500
2017-10-16,998.250,999.000,990.250,991.250
2017-10-17,989.250,990.500,982.500,985.500
2017-10-18,984.500,988.500,981.750,983.500
2017-10-19,983.250,989.000,983.000,986.250
2017-10-20,985.000,994.250,978.000,978.250
2017-10-23,977.250,982.750,975.000,980.000
2017-10-24,979.750,983.000,972.750,976.750
2017-10-25,975.500,983.250,975.250,975.250
2017-10-26,975.750,978.750,970.250,971.250
2017-10-27,970.500,976.500,969.750,975.750
2017-10-30,975.000,981.500,971.250,972.250
2017-10-31,972.500,977.500,971.000,974.500
2017-11-01,984.500,995.000,983.750,990.750
2017-11-02,990.250,1000.500,990.000,998.750
2017-11-03,998.750,999.000,985.750,986.250
2017-11-06,986.250,995.750,985.000,994.000
2017-11-07,994.250,998.750,991.250,996.250
2017-11-08,996.250,999.500,994.750,998.250
2017-11-09,998.250,1008.250,983.500,985.000
2017-11-10,985.000,991.000,983.750,987.000
2017-11-13,987.000,990.250,973.750,975.250
2017-11-14,975.250,977.500,967.000,968.750
2017-11-15,968.750,978.000,968.000,976.250
2017-11-16,976.250,978.250,970.250,972.750
2017-11-17,972.750,992.000,971.500,992.000
2017-11-20,990.000,992.000,983.000,990.250
