month,cotton_a
1960M01,0.65
1960M02,0.65
1960M03,0.65
1960M04,0.64
1960M05,0.65
1960M06,0.66
1960M07,0.66
1960M08,0.65
1960M09,0.66
1960M10,0.67
1960M11,0.67
1960M12,0.66
1961M01,0.66
1961M02,0.68
1961M03,0.67
1961M04,0.67
1961M05,0.68
1961M06,0.68
1961M07,0.68
1961M08,0.67
1961M09,0.67
1961M10,0.68
1961M11,0.66
1961M12,0.66
1962M01,0.66
1962M02,0.66
1962M03,0.66
1962M04,0.66
1962M05,0.66
1962M06,0.66
1962M07,0.65
1962M08,0.64
1962M09,0.63
1962M10,0.63
1962M11,0.63
1962M12,0.65
1963M01,0.66
1963M02,0.65
1963M03,0.65
1963M04,0.64
1963M05,0.64
1963M06,0.64
1963M07,0.64
1963M08,0.64
1963M09,0.65
1963M10,0.65
1963M11,0.64
1963M12,0.64
1964M01,0.66
1964M02,0.66
1964M03,0.65
1964M04,0.65
1964M05,0.66
1964M06,0.66
1964M07,0.65
1964M08,0.64
1964M09,0.65
1964M10,0.65
1964M11,0.64
1964M12,0.64
1965M01,0.64
1965M02,0.67
1965M03,0.65
1965M04,0.65
1965M05,0.65
1965M06,0.63
1965M07,0.63
1965M08,0.63
1965M09,0.63
1965M10,0.62
1965M11,0.62
1965M12,0.62
1966M01,0.62
1966M02,0.62
1966M03,0.64
1966M04,0.62
1966M05,0.62
1966M06,0.62
1966M07,0.62
1966M08,0.62
1966M09,0.61
1966M10,0.63
1966M11,0.63
1966M12,0.63
1967M01,0.64
1967M02,0.66
1967M03,0.66
1967M04,0.66
1967M05,0.66
1967M06,0.67
1967M07,0.67
1967M08,0.68
1967M09,0.69
1967M10,0.7
1967M11,0.71
1967M12,0.72
1968M01,0.72
1968M02,0.71
1968M03,0.71
1968M04,0.71
1968M05,0.71
1968M06,0.7
1968M07,0.69
1968M08,0.68
1968M09,0.66
1968M10,0.66
1968M11,0.63
1968M12,0.62
1969M01,0.63
1969M02,0.63
1969M03,0.63
1969M04,0.63
1969M05,0.63
1969M06,0.62
1969M07,0.61
1969M08,0.6
1969M09,0.61
1969M10,0.63
1969M11,0.65
1969M12,0.66
1970M01,0.64
1970M02,0.65
1970M03,0.66
1970M04,0.66
1970M05,0.66
1970M06,0.67
1970M07,0.67
1970M08,0.68
1970M09,0.69
1970M10,0.7
1970M11,0.71
1970M12,0.72
1971M01,0.73
1971M02,0.74
1971M03,0.73
1971M04,0.73
1971M05,0.75
1971M06,0.79
1971M07,0.8
1971M08,0.83
1971M09,0.83
1971M10,0.82
1971M11,0.82
1971M12,0.85
1972M01,0.89
1972M02,0.9
1972M03,0.87
1972M04,0.87
1972M05,0.86
1972M06,0.83
1972M07,0.78
1972M08,0.74
1972M09,0.73
1972M10,0.78
1972M11,0.81
1972M12,0.86
1973M01,0.89
1973M02,0.91
1973M03,0.96
1973M04,1.03
1973M05,1.15
1973M06,1.22
1973M07,1.46
1973M08,1.67
1973M09,1.91
1973M10,1.93
1973M11,1.75
1973M12,1.82
