time,open,high,low,close
2019-04-22,78.080,78.840,78.030,78.270
2019-04-23,78.400,78.520,77.170,78.470
2019-04-24,77.660,77.930,77.050,77.910
2019-04-25,77.120,78.480,77.120,77.120
2019-04-26,78.440,78.440,77.270,78.320
2019-04-29,77.700,78.090,76.850,77.700
2019-04-30,76.890,77.330,76.550,76.950
2019-05-01,76.650,76.870,75.650,76.780
2019-05-02,76.350,76.590,75.370,76.710
2019-05-03,75.490,76.310,75.430,75.450
2019-05-06,75.190,75.200,73.020,75.680
2019-05-07,73.770,74.720,73.500,73.550
2019-06-26,65.690,67.600,65.570,66.440
2019-06-27,66.660,66.860,65.790,66.100
2019-06-28,66.000,66.830,65.900,66.040
2019-07-01,67.210,68.350,66.450,66.530
2019-07-02,66.380,67.700,65.700,67.250
2019-07-03,67.280,67.900,66.810,67.230
2019-07-05,67.220,67.430,66.430,66.830
2019-07-08,66.660,67.100,65.570,65.580
2019-07-09,65.530,65.530,63.070,63.230
2019-07-10,63.450,64.200,63.060,63.880
2019-07-11,63.920,64.100,62.840,63.100
2019-07-12,63.100,63.450,62.600,62.620
2019-07-15,62.740,64.090,62.680,63.950
2019-07-16,63.950,63.950,62.840,63.080
2019-07-17,63.060,63.180,62.320,62.520
2019-07-18,62.490,62.570,61.660,61.700
2019-07-19,61.700,63.280,61.670,63.050
2019-07-22,63.170,63.980,63.100,63.360
2019-07-23,63.200,63.830,62.900,63.740
2019-07-24,63.630,64.670,63.520,64.180
2019-07-25,64.200,64.680,63.970,64.210
2019-07-26,63.980,64.600,63.570,64.410
2019-07-29,64.110,64.450,63.260,64.220
2019-07-30,63.920,64.200,62.840,63.300
2019-07-31,63.360,63.970,63.140,63.850
2019-08-01,63.750,63.900,62.250,62.260
2019-08-02,62.170,62.170,59.370,59.410
2019-08-05,59.600,60.140,57.260,58.660
2019-08-06,58.700,58.800,58.170,58.740
2019-08-07,58.930,58.930,57.500,58.900
2019-08-08,58.920,59.780,58.640,59.610
2019-08-09,59.620,59.700,58.790,58.840
2019-08-12,58.900,59.050,57.550,58.120
2019-08-13,58.140,59.940,57.890,59.540
2019-08-14,59.460,59.870,58.940,59.500
2019-08-15,59.430,60.180,59.250,59.550
2019-08-16,59.460,60.230,59.460,60.100
2019-08-19,60.250,60.250,59.070,59.170
2019-08-20,59.290,59.650,59.070,59.070
2019-08-21,59.120,60.000,58.680,59.910
2019-08-22,59.940,60.050,58.860,58.870
2019-08-23,58.920,59.550,58.060,58.160
2019-08-26,57.970,57.970,56.590,57.760
2019-08-27,57.590,59.490,57.400,57.920
2019-08-28,57.970,58.920,57.840,58.690
2019-08-29,58.760,59.290,57.940,58.970
2019-08-30,58.960,59.300,58.460,58.840
2019-09-03,58.650,58.730,57.550,57.830
2019-09-04,58.000,58.790,57.840,58.170
2019-09-05,58.460,59.170,58.140,59.110
2019-09-06,59.160,59.860,58.030,58.400
2019-09-09,58.500,59.090,58.230,58.930
2019-09-10,58.950,59.700,58.880,59.160
2019-09-11,59.200,59.550,58.980,59.350
2019-09-12,59.420,62.360,59.420,61.990
2019-09-13,62.370,63.390,62.070,62.280
2019-09-16,62.570,62.780,61.880,62.530
2019-09-17,62.400,62.560,60.800,61.300
2019-09-18,61.030,61.360,60.410,60.400
2019-09-19,60.510,61.130,60.280,60.350
2019-09-20,60.300,60.870,60.200,60.510
2019-09-23,60.600,61.670,60.130,60.800
2019-09-24,60.700,60.960,59.650,60.360
2019-09-25,60.690,60.700,59.630,60.610
2019-09-26,60.450,60.940,59.930,60.230
2019-09-27,60.000,61.000,59.580,60.960
2019-09-30,60.980,61.130,60.080,60.710
2019-10-01,60.960,61.130,60.200,60.880
2019-10-02,61.000,61.530,60.380,61.310
2019-10-03,61.170,62.910,61.150,61.550
2019-10-04,61.750,62.180,61.220,61.750
2019-10-07,62.070,62.270,61.390,61.790
2019-10-08,61.620,61.800,60.790,61.300
2019-10-09,61.320,62.380,60.980,62.070
2019-10-10,62.000,62.470,61.360,61.540
2019-10-11,61.820,64.000,61.480,63.990
2019-10-14,64.200,65.850,62.190,62.190
2019-10-15,62.150,63.680,61.720,63.410
2019-10-16,63.500,64.580,63.040,64.540
2019-10-17,64.500,65.140,64.190,65.080
2019-10-18,65.200,65.390,65.000,65.170
2019-10-21,65.190,65.480,64.440,64.430
2019-10-22,64.440,65.200,63.960,64.660
2019-10-23,64.450,65.180,64.400,64.870
2019-10-24,65.000,65.550,64.600,64.650
2019-10-25,64.700,65.700,64.580,64.960
2019-10-28,65.110,65.300,64.480,64.800
2019-10-29,64.910,65.480,64.700,64.780
2019-10-30,64.650,65.990,64.640,65.710
2019-10-31,65.600,65.960,64.020,64.360
2019-11-01,64.460,64.910,63.810,64.560
2019-11-04,64.730,64.980,63.540,63.740
2019-11-05,63.670,64.210,63.550,63.740
2019-11-06,63.810,64.110,63.450,63.600
2019-11-07,63.630,64.850,63.460,64.160
2019-11-08,64.350,65.060,63.610,64.500
2019-11-11,66.400,66.690,65.500,66.060
2019-11-12,66.440,66.590,65.870,66.400
2019-11-13,66.240,66.570,65.950,66.080
2019-11-14,66.050,66.700,65.640,66.000
2019-11-15,66.080,66.880,66.000,66.660
2019-11-18,66.800,66.800,65.250,65.750
2019-11-19,65.580,66.060,65.170,65.310
2019-11-20,65.350,65.820,64.180,64.220
2019-11-21,64.280,64.850,63.700,63.950
2019-11-22,64.150,64.900,63.950,64.840
2019-11-25,64.900,65.900,64.750,65.750
2019-11-26,65.700,66.140,65.420,65.840
2019-11-27,65.920,66.100,65.270,65.860
2019-11-29,65.720,65.780,65.110,65.410
2019-12-02,65.360,65.980,64.750,64.860
2019-12-03,64.700,64.930,64.020,64.030
2019-12-04,64.050,64.850,64.050,64.840
2019-12-05,64.700,65.210,64.410,64.500
2019-12-06,64.510,66.320,64.510,65.950
2019-12-09,66.010,66.250,64.810,65.460
2019-12-10,65.740,66.230,64.880,65.910
2019-12-11,65.930,66.190,65.340,65.850
2019-12-12,65.760,67.380,65.570,67.200
2019-12-13,67.490,67.800,66.430,66.700
2019-12-16,66.800,67.430,66.430,66.980
2019-12-17,66.750,67.070,66.300,66.450
2019-12-18,66.450,67.180,66.250,66.740
2019-12-19,66.740,67.880,66.690,67.700
2019-12-20,67.580,68.310,67.120,67.930
2019-12-23,67.970,68.750,67.570,68.480
2019-12-24,68.500,68.730,68.220,68.650
2019-12-26,68.700,69.340,68.460,68.650
2019-12-27,68.750,69.330,68.500,68.720
2019-12-30,68.940,69.690,68.940,69.580
2019-12-31,69.560,69.720,68.800,68.950
2020-01-02,69.120,69.740,69.040,69.180
2020-01-03,69.010,69.610,68.500,69.210
2020-01-06,69.290,70.100,69.290,70.060
2020-01-07,70.070,70.250,69.460,69.810
2020-01-08,69.690,70.040,69.050,69.990
2020-01-09,69.960,70.850,69.560,70.600
2020-01-10,70.500,71.390,70.350,71.290
2020-01-13,71.310,71.960,71.180,71.390
2020-01-14,71.500,71.750,70.900,71.400
2020-01-15,71.380,71.380,70.100,70.190
2020-01-16,70.250,70.380,69.730,70.210
2020-01-17,70.000,71.370,69.950,71.290
2020-01-21,71.250,71.250,69.120,69.230
2020-01-22,69.020,71.300,68.710,71.170
2020-01-23,71.000,71.000,69.800,69.920
2020-01-24,69.980,70.250,69.350,69.450
2020-01-27,69.250,69.810,68.000,69.440
2020-01-28,69.030,70.600,69.020,70.270
2020-01-29,70.400,70.920,69.870,70.060
2020-01-30,70.060,70.060,68.540,68.940
2020-01-31,68.960,69.350,67.400,67.420
2020-02-03,67.290,68.060,66.750,66.820
2020-02-04,66.850,68.230,66.850,67.570
2020-02-05,67.600,68.420,67.320,67.680
2020-02-06,67.530,68.200,67.510,67.900
2020-02-07,67.850,68.000,67.100,67.790
2020-02-10,68.030,68.860,68.030,68.620
2020-02-11,68.860,69.120,68.450,68.790
2020-02-12,68.740,69.410,68.310,69.140
2020-02-13,69.130,69.290,68.510,68.610
2020-02-14,68.560,68.900,68.080,68.300
2020-02-18,68.420,69.720,68.420,68.960
2020-02-19,69.020,70.240,69.010,69.630
2020-02-20,69.800,69.810,68.880,69.330
2020-02-21,69.050,69.360,68.450,68.920
2020-02-24,68.100,68.300,66.000,67.150
2020-02-25,67.000,67.750,66.150,66.420
2020-02-26,66.840,66.850,65.370,65.360
2020-02-27,65.470,65.470,62.510,62.510
2020-02-28,62.500,62.770,60.180,61.800
2020-03-02,62.450,64.240,61.700,63.460
2020-03-03,63.740,65.070,62.630,62.680
2020-03-04,62.960,64.050,62.870,63.020
2020-03-05,63.260,64.150,62.720,63.340
2020-03-06,63.010,63.270,62.350,62.800
2020-03-09,62.000,62.500,60.500,61.390
2020-03-10,62.250,62.910,61.010,61.350
2020-03-11,61.410,61.940,61.310,61.580
2020-03-12,61.600,61.600,59.350,59.710
2020-03-13,59.350,61.910,58.570,60.480
2020-03-16,59.400,59.720,58.100,58.950
2020-03-17,58.760,59.670,57.860,57.950
2020-03-18,57.960,58.590,56.510,56.780
2020-03-19,56.300,56.950,53.640,55.300
2020-03-20,55.320,56.350,53.200,53.630
2020-03-23,52.770,52.900,50.680,51.830
2020-03-24,52.040,54.870,51.160,53.120
2020-03-25,53.190,54.280,52.220,53.500
2020-03-26,53.440,54.010,52.500,52.800
2020-03-27,52.780,53.320,51.150,51.190
2020-03-30,51.050,51.130,48.800,50.670
2020-03-31,50.500,51.730,49.460,51.100
2020-04-01,50.980,51.250,48.350,48.760
2020-04-02,48.950,51.480,48.580,49.840
2020-04-03,49.970,51.140,49.670,51.020
2020-04-06,51.150,53.510,49.400,52.970
2020-04-07,53.420,53.580,52.360,52.730
2020-04-08,52.900,54.170,52.500,53.840
2020-04-09,53.920,54.480,53.160,54.310
2020-04-13,54.400,54.500,52.310,53.290
2020-04-14,52.930,53.300,52.760,53.040
2020-04-15,53.010,53.900,52.400,52.760
2020-04-16,52.800,53.400,52.140,53.030
2020-04-17,53.320,54.070,52.680,52.700
2020-04-20,52.860,54.300,52.520,53.850
2020-04-21,54.020,54.110,52.010,53.100
2020-04-22,52.750,56.250,52.150,56.050
2020-04-23,56.400,57.650,55.650,56.340
2020-04-24,56.180,56.700,55.250,55.640
2020-04-27,55.480,56.480,54.600,55.040
2020-04-28,55.110,56.990,54.550,55.860
2020-04-29,55.790,57.240,55.790,57.190
2020-04-30,57.210,57.980,56.560,57.380
2020-05-01,57.250,57.470,55.330,55.770
2020-05-04,55.660,55.800,53.850,54.300
2020-05-05,54.440,55.330,53.460,53.550
2020-05-06,53.600,55.050,53.200,54.670
2020-05-07,54.600,56.450,54.420,55.300
2020-05-08,55.390,57.050,55.390,56.240
2020-05-11,55.750,57.150,55.750,56.690
2020-05-12,56.560,58.590,56.000,58.350
2020-05-13,58.300,58.430,56.960,57.540
2020-05-14,57.670,58.230,56.800,57.750
2020-05-15,57.850,58.860,57.350,58.170
2020-05-18,58.400,58.960,57.400,57.840
2020-05-19,57.990,59.490,57.920,59.190
2020-05-20,59.390,59.850,58.940,59.360
2020-05-21,58.150,58.700,57.320,58.200
